polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
922,298,81.2%,0.189873417721519,0.0006463692160775547,"Höhere CO2-Bepreisung, dafür Entlastung der Arbeit (weniger Lohnsteuer)"
923,234,48.2%,0.1898412698412698,0.001134134392887004,Klimarat: Der Klimarat ist in der Öffentlichkeit bekannt.
924,587,46.9%,0.18909090909090914,3.5229255412891836e-05,Keine Schulbusse im Umkreis von 4km um Schulen - gehen tut den Kleinen gut und sie können sich austoben. Sichere Schul- und Radwege dazu!
925,132,39.6%,0.18890845070422535,0.0032247407496582502,Klimarat: Die aktuellen Energie- und Klimaschutzgesetze sind mir bekannt.
926,540,53.3%,0.18803418803418803,8.48160497027707e-05,Weihnachtsbeleuchtung in Einkaufsstrassen abschaffen
927,467,35.1%,0.1871980676328503,0.00019458563644021153,Ich bin älter als 56 Jahre alt.
928,349,43.9%,0.18627450980392157,0.00048478519413843834,Eine Frage zu deiner Person: Ich bin zwischen 36 und 55 Jahre alt.
929,413,80.3%,0.18461538461538465,0.0003249416313974755,Klimaschutz soll ein Grundrecht sein und in der Verfassung verankert
930,392,39.0%,0.1839080459770115,0.0003764650249125587,Klimaschutz ist populistische Politik. Was wir brauchen ist Naturschutz.
931,267,75.0%,0.1820175438596491,0.0008309873363399718,Ab 1.6.2022 dürfen keine Gasthermen mehr installiert werden
932,399,36.1%,0.18099547511312214,0.00035700620146602435,Ausstieg aus Fossil erst wenn ehrliche ganzheitliche Eco- und Ressourcenfootprintberechnung eindeutigen Vorteil für Alternative zeigt.
933,396,35.8%,0.18037135278514588,0.00036018873055721406,"Da konventionelle Kernkraft unrealistisch in Österreich, zumindest mehr Geld für Forschung an Reaktoren der neuen Generation bereitstellen."
934,374,44.4%,0.1785714285714286,0.0004079188312727628,"Totholz öffentlich einsammeln, daraus pyrolytisch Energie gewinnen. Holzkohle auf Felder. Max Umfang & Höhe für Brauchtumsfeuer festlegen."
935,619,40.0%,0.17777777777777776,1.534406282949444e-06,Kernreaktoren -egal welcher Generation- sind einfach nicht erstrebenswert. Für absolut nichts.
936,129,53.4%,0.17764227642276426,0.0035831551298538813,"Überall dort, wo an landwirtschaftl. Betrieben eine Gasleitung vorbeiführt, muss eine Biogasanlage errichtet werden, die einspeist."
937,609,34.2%,0.17499999999999996,1.583030147707496e-05,"Klimaschutz ist so dringend und muss umgesetzt werden, auch wenn zeitnah keine sozialen Ausgleichsmaßnahmen möglich sind."
938,335,37.9%,0.17416666666666664,0.0005251557756842182,Eine Frage zu deiner Person: Ich bin älter als 56 Jahre alt.
939,443,52.4%,0.17204301075268819,0.00025811593528302383,"Dienste (zB bei mobiler Hauskrankenpflege) so planen, dass die Wege mit Öffis zurückgelegt werden können"
940,572,42.9%,0.17142857142857146,5.045105396785892e-05,"Da CO2 ein lebensnotwendiges Gas ist, soll der Fokus nicht auf CO2-Freiheit sondern auf Effizienz gelegt werden."
941,156,61.0%,0.1697545833737511,0.002479466909319958,Deckung des eigenen Energiebedarfs für Industrie & Gewerbegebäude vorschreiben
942,411,67.5%,0.16842105263157894,0.00032875545534302703,"Energieproduktion darf nur NACHHALTIG sein! Keine AKW in Österreich! Windräder nur wo windreich! Alle PV Anlagen rasch, zahlt der Staat,"
943,461,64.7%,0.16683217477656404,0.000211341328356463,Wir müssen unsere Ansprüche in Bezug Komfort beträchtlich reduzieren. Angefangen von den Superreichen bis zum kleinen Mann auf der Straße.
944,831,33.3%,0.16666666666666669,0.0,Bau von Atomkraftwerken JETZT
945,356,35.2%,0.16589861751152077,0.00046459405566613514,Der Mensch kann das Klima nicht beeinflussen! Im Gegensatz zur Umwelt - die kann man schützen.
946,273,65.1%,0.16513480392156862,0.0008047062242516117,Unternehmeninvestments erst genehmigen wenn insgesamt klimafreundlich und mehr Energie erzeugt als verbraucht
